code,nameCht,namePor,parentCode,lat,lng,zone,stop_code,n_routes,n_route_dir,n_records,nn_dist_m
M1_2,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.215002,113.549331,Macau Peninsula,M1_2,1,2,2,8.684770946514938
M1_4,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.215016,113.549248,Macau Peninsula,M1_4,1,1,1,8.684770946514938
M1_5,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.215159,113.54923,Macau Peninsula,M1_5,1,2,2,16.008472519880147
M1_6,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.21486,113.549034,Macau Peninsula,M1_6,1,1,1,19.467923734466652
M1_9,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.215421,113.549137,Macau Peninsula,M1_9,2,3,4,30.665742766692237
M1_11,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.215217,113.548907,Macau Peninsula,M1_11,1,2,2,9.554426793301323
M1_12,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.21503,113.548874,Macau Peninsula,M1_12,1,1,2,17.036038985152544
M1_13,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.214879,113.548846,Macau Peninsula,M1_13,1,1,1,9.556470227634671
M1_14,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.215196,113.548817,Macau Peninsula,M1_14,2,2,2,9.554426793301323
M1_16,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.214896,113.548755,Macau Peninsula,M1_16,1,2,2,9.556470227634671
M1_18,關閘總站,PORTAS DO CERCO / TERMINAL,M1,22.214955,113.548675,Macau Peninsula,M1_18,1,1,2,10.529018063898125
M2_1,東方明珠總站,PÉROLA ORIENTAL / TERMINAL,M2,22.210456,113.556993,Macau Peninsula,M2_1,4,5,7,172.32762362877102
M3_1,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,M3,22.183887,113.530029,Macau Peninsula,M3_1,2,4,4,14.960121811895801
M3_2,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,M3,22.184021,113.530042,Macau Peninsula,M3_2,3,5,6,14.960121811895801
M3_3,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,M3,22.184159,113.530055,Macau Peninsula,M3_3,2,2,4,12.3944934758333
M3_4,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,M3,22.18427,113.530066,Macau Peninsula,M3_4,3,6,6,12.3944934758333
M4_1,鄭觀應公立學校,ESCOLA OFICIAL ZHENG GUANYING,M4,22.213655,113.54491,Macau Peninsula,M4_1,2,2,2,35.15411676137476
M4_2,鄭觀應公立學校,ESCOLA OFICIAL ZHENG GUANYING,M4,22.213638,113.545251,Macau Peninsula,M4_2,5,5,5,35.15411676137476
M5_1,街總社區服務大樓,UNIÃO G. DAS ASSOCIAÇÕES DOS MORADORES,M5,22.213255,113.544048,Macau Peninsula,M5_1,2,2,2,99.25928366742609
M6_1,青茂/鴨涌河變電站,QINGMAO / SUBESTAÇÃO CANAL DOS PATOS,M6,22.212608,113.540464,Macau Peninsula,M6_1,3,3,3,76.30379876247908
M7_1,關閘馬路,ISTMO F.AMARAL,M7,22.212787,113.54864,Macau Peninsula,M7_1,2,2,2,24.793888451719816
M7_2,關閘馬路,ISTMO F.AMARAL,M7,22.212566,113.548608,Macau Peninsula,M7_2,2,2,2,24.793888451719816
M7_3,關閘馬路,ISTMO F.AMARAL,M7,22.21231,113.54857,Macau Peninsula,M7_3,2,2,2,28.73342955917539
M8_1,巴波沙大馬路,AV. ARTUR DE TAMAGNINI BARBOSA,M8,22.212753,113.547588,Macau Peninsula,M8_1,4,4,4,4.458505760411211
M8_2,巴波沙大馬路,AV. ARTUR DE TAMAGNINI BARBOSA,M8,22.212793,113.547591,Macau Peninsula,M8_2,7,7,7,4.458505760411211
M9_1,關閘廣場,PRAÇA DAS PORTAS DO CERCO,M9,22.214866,113.549449,Macau Peninsula,M9_1,4,5,5,19.39694029668562
M10_1,台山街市,MERCADO TAMAG. BARBOSA,M10,22.210444,113.546125,Macau Peninsula,M10_1,10,10,10,11.105305599262067
M10_2,台山街市,MERCADO TAMAG. BARBOSA,M10,22.210432,113.546243,Macau Peninsula,M10_2,9,9,9,7.259816000652484
M11_1,拱形馬路/蓮峰廟,EST. ARCO / TEMPLO LIN FUNG,M11,22.210161,113.548326,Macau Peninsula,M11_1,7,7,7,48.18304734259208
M12_1,北區警司處,COMISSARIADO DA ZONA NORTE,M12,22.210377,113.546205,Macau Peninsula,M12_1,12,12,12,7.259816000652484
M13_1,李寶椿街,RUA LEI POU CHON,M13,22.212209,113.54595,Macau Peninsula,M13_1,1,1,1,66.20400487168006
M13_2,李寶椿街,RUA LEI POU CHON,M13,22.212174,113.546592,Macau Peninsula,M13_2,1,1,1,66.20400487168006
M14_1,蓮峰游泳池,PISCINA LIM FUNG,M14,22.207795,113.546059,Macau Peninsula,M14_1,5,5,5,109.82374729348872
M15_1,台山中街,RUA CENTRAL DE T'OI SÁN,M15,22.211447,113.545023,Macau Peninsula,M15_1,1,1,1,127.61612168455984
M16_1,提督馬路/雅廉訪,AV. ALM. LACERDA / OUVIDOR ARRIAGA,M16,22.206635,113.545461,Macau Peninsula,M16_1,9,9,9,28.228238558318203
M16_2,提督馬路/雅廉訪,AV. ALM. LACERDA / OUVIDOR ARRIAGA,M16,22.206413,113.545328,Macau Peninsula,M16_2,11,11,11,28.228238558318203
M18_1,牧場街總站,Rua dos Currais / TERMINAL,M18,22.215176,113.546675,Macau Peninsula,M18_1,2,2,4,15.067190472653278
M18_3,牧場街總站,Rua dos Currais / TERMINAL,M18,22.215343,113.54658,Macau Peninsula,M18_3,1,1,2,13.214101352085786
M18_5,牧場街總站,Rua dos Currais / TERMINAL,M18,22.215309,113.546703,Macau Peninsula,M18_5,1,1,2,12.480275060859816
M18_7,牧場街總站,Rua dos Currais / TERMINAL,M18,22.215417,113.546736,Macau Peninsula,M18_7,1,2,2,12.480275060859816
M18_10,牧場街總站,Rua dos Currais / TERMINAL,M18,22.215536,113.546797,Macau Peninsula,M18_10,2,2,2,14.64655968924986
M19_1,白朗古將軍馬路,AV. GEN. CASTELO BRANCO,M19,22.209335,113.544792,Macau Peninsula,M19_1,6,6,6,29.732194007188653
M20_2,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,M20,22.211952,113.54371,Macau Peninsula,M20_2,1,2,2,19.697848884975876
M20_3,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,M20,22.211887,113.543532,Macau Peninsula,M20_3,3,3,4,10.961817917613647
M20_5,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,M20,22.21179,113.543513,Macau Peninsula,M20_5,1,1,2,10.961817917613647
M20_6,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,M20,22.21175,113.543755,Macau Peninsula,M20_6,1,1,2,22.93410133384825
M21_1,青洲/嘉應花園,CONS. BORJA / KA IENG,M21,22.210686,113.543569,Macau Peninsula,M21_1,2,2,2,4.257175623959434
M21_2,青洲/嘉應花園,CONS. BORJA / KA IENG,M21,22.210691,113.543528,Macau Peninsula,M21_2,9,9,9,4.257175623959434
M22_1,青洲/聖德蘭學校,CONS. BORJA / ESCOLA S. TERESA,M22,22.210937,113.541906,Macau Peninsula,M22_1,12,12,12,69.64406301650111
M24_1,青洲/聖若瑟中學,CONS. BORJA / COLÉGIO S. JOSÉ,M24,22.21109,113.540088,Macau Peninsula,M24_1,3,3,3,8.305917553374728
M25_1,青洲/自來水公司,ILHA VERDE / S.A.A.M.,M25,22.211152,113.540043,Macau Peninsula,M25_1,5,5,5,8.305917553374728
M26_1,筷子基總站,FAI CHI KEI / TERMINAL,M26,22.208334,113.543538,Macau Peninsula,M26_1,1,1,1,15.360769556005803
M26_2,筷子基總站,FAI CHI KEI / TERMINAL,M26,22.208466,113.543494,Macau Peninsula,M26_2,1,1,2,15.360769556005803
M26_3,筷子基總站,FAI CHI KEI / TERMINAL,M26,22.208736,113.543404,Macau Peninsula,M26_3,1,1,2,31.419751995884468
M26_4,筷子基總站,FAI CHI KEI / TERMINAL,M26,22.209166,113.543261,Macau Peninsula,M26_4,1,1,2,50.02874527413699
M27_1,關閘馬路/三角花園,ISTMO F. AMARAL / JARDIM TRIANGULAR,M27,22.210711,113.548525,Macau Peninsula,M27_1,5,5,5,25.85115256222424
M28_1,黑沙環馬路,EST. AREIA PRETA,M28,22.208041,113.549766,Macau Peninsula,M28_1,10,10,10,9.213661104746368
M28_2,黑沙環馬路,EST. AREIA PRETA,M28,22.20812,113.549739,Macau Peninsula,M28_2,5,5,5,9.213661104746368
M29_1,慕拉士馬路,AV. VENCESLAU DE MORAIS,M29,22.208519,113.550256,Macau Peninsula,M29_1,6,6,6,52.09184839447318
M30_1,黑沙環第五街,RUA CINCO / AREIA PRETA,M30,22.208447,113.550756,Macau Peninsula,M30_1,4,4,4,52.09184839447318
M31_1,白朗古/跑狗場,GEN. C. BRANCO / CANÍDROMO,M31,22.209177,113.545025,Macau Peninsula,M31_1,6,6,6,29.732194007188653
M32_2,望廈總站,MONG HÁ / TERMINAL,M32,22.206958,113.551317,Macau Peninsula,M32_2,1,1,2,9.126033730277566
M32_4,望廈總站,MONG HÁ / TERMINAL,M32,22.206889,113.551269,Macau Peninsula,M32_4,1,1,2,9.126033730277566
M33_1,俾利喇/望德樓,XAVIER PEREIRA / EDF. MONG TAK,M33,22.207392,113.550903,Macau Peninsula,M33_1,4,4,4,64.38444171481588
M35_1,慕拉士馬路/望善樓,VENC. MORAIS / EDF. MONG SIN,M35,22.206661,113.552476,Macau Peninsula,M35_1,5,5,5,15.651925897747734
M35_2,慕拉士馬路/望善樓,VENC. MORAIS / EDF. MONG SIN,M35,22.206831,113.552267,Macau Peninsula,M35_2,4,4,4,28.64026935753579
M36_1,慕拉士巷,TRAV. VENC. MORAIS,M36,22.206633,113.552625,Macau Peninsula,M36_1,2,2,2,13.371083073163039
M36_2,慕拉士巷,TRAV. VENC. MORAIS,M36,22.206551,113.55272,Macau Peninsula,M36_2,9,9,9,13.371083073163039
M38_1,望賢樓,EDF. MONG IN,M38,22.20576,113.549558,Macau Peninsula,M38_1,4,4,4,16.50181710874626
M39_1,澳廣視,TDM,M39,22.205907,113.54958,Macau Peninsula,M39_1,6,6,6,16.50181710874626
M40_1,福海花園,RAMPA CAVALEIROS,M40,22.205677,113.551348,Macau Peninsula,M40_1,1,1,1,135.01342450859957
M43_1,螺絲山公園,JARDIM MONTANHA RUSSA,M43,22.203151,113.551861,Macau Peninsula,M43_1,1,1,1,63.72102708605579
M45_1,荷蘭園/栢蕙,CONS.F.ALMEIDA / PAK WAI,M45,22.202862,113.550374,Macau Peninsula,M45_1,3,3,3,143.86888390415496
M46_1,鮑思高球場,COR. MESQUITA / D. BOSCO,M46,22.202589,113.55174,Macau Peninsula,M46_1,4,4,4,29.92072721330738
M46_2,鮑思高球場,COR. MESQUITA / D. BOSCO,M46,22.20241,113.551957,Macau Peninsula,M46_2,6,6,6,29.92072721330738
M47_2,新雅馬路/母親會,EST. BELA VISTA / OBRA DAS MÃES,M47,22.203229,113.553047,Macau Peninsula,M47_2,7,7,7,122.40609096787976
M48_1,慕拉士/飛通大廈,VENCESLAU MORAIS / EDF.AIRWAY,M48,22.205172,113.554391,Macau Peninsula,M48_1,11,11,11,106.40704012998272
M50_1,勞動節大馬路/廣華,AV1。DEMAIO / KWONG WA,M50,22.207798,113.557519,Macau Peninsula,M50_1,6,6,6,128.8216403794094
M51_1,東北大馬路/廣華,AV. NORDESTE / KWONG WA,M51,22.207695,113.556188,Macau Peninsula,M51_1,8,8,8,131.1882897827907
M52_1,漁翁街/勞工事務局,RUA DOS PESCADORES / DSAL,M52,22.204754,113.559992,Macau Peninsula,M52_1,8,8,8,10.669466619868492
M53_1,水塘北角/勞工事務局,R BEND / DSAL,M53,22.204693,113.559912,Macau Peninsula,M53_1,9,9,9,10.669466619868492
M54_1,電力公司,CEM,M54,22.203879,113.554352,Macau Peninsula,M54_1,6,6,6,143.83108989046687
M55_1,東北大馬路/南澳,AV. NORDESTE / NAM OU,M55,22.206123,113.554506,Macau Peninsula,M55_1,6,6,6,106.40704012998272
M59_1,荷蘭花園,CONS.F.ALMEIDA / HOLLAND GARDEN,M59,22.201624,113.549411,Macau Peninsula,M59_1,5,5,5,104.50518743838906
M60_1,青茂/何賢紳士馬路,QINGMAO / AV. DO COMENDADOR HO YIN,M60,22.211438,113.5415,Macau Peninsula,M60_1,6,6,6,52.96855160187427
M61_1,二龍喉公園,JARDIM FLORA,M61,22.200951,113.550751,Macau Peninsula,M61_1,6,6,6,7.85804725891198
M61_2,二龍喉公園,JARDIM FLORA,M61,22.200904,113.550694,Macau Peninsula,M61_2,10,10,10,7.85804725891198
M62_1,回力,JAI ALAI,M62,22.19594,113.555204,Macau Peninsula,M62_1,2,2,2,23.762802475689224
M62_2,回力,JAI ALAI,M62,22.196114,113.555338,Macau Peninsula,M62_2,1,2,2,23.762802475689224
M62_3,回力,JAI ALAI,M62,22.19656,113.555191,Macau Peninsula,M62_3,1,1,2,51.85082580857937
M63_1,紀念孫中山公園,PARQUE M. DR. SUN YAT SEN,M63,22.215371,113.545306,Macau Peninsula,M63_1,4,4,4,131.1835911144638
M64_1,黑沙環新街/南華,R. NOVA AREIA PRETA / NAM WA,M64,22.206324,113.557092,Macau Peninsula,M64_1,7,7,7,169.69378012198524
M65_1,青茂/青洲坊,QINGMAO / BAIRRO DA ILHA VERDE,M65,22.211733,113.541904,Macau Peninsula,M65_1,4,4,4,52.96855160187427
M66_1,水塘馬路,EST. DO RESERVATÓRIO,M66,22.199732,113.554654,Macau Peninsula,M66_1,1,1,1,357.0169523070211
M67_1,青茂口岸,POSTO FRONTEIRIÇO QINGMAO,M67,22.21326,113.54279,Macau Peninsula,M67_1,3,3,3,129.50271694009666
M68_1,葡京路,AV. LISBOA,M68,22.190412,113.543901,Macau Peninsula,M68_1,2,2,2,109.93981619762066
M69_1,葡京酒店,HOTEL LISBOA,M69,22.1892,113.544779,Macau Peninsula,M69_1,8,8,8,6.96254539793651
M69_2,葡京酒店,HOTEL LISBOA,M69,22.189225,113.544841,Macau Peninsula,M69_2,9,9,9,6.96254539793651
M70_1,澳門理工大學,UNIVERSIDADE POLITÉCNICA DE MACAU,M70,22.193406,113.551966,Macau Peninsula,M70_1,10,10,10,56.1309715876256
M71_1,廈門街/澳門理工大學,RUA DE XIAMEN / U.P.M.,M71,22.193117,113.551519,Macau Peninsula,M71_1,11,11,11,56.1309715876256
M72_1,陳瑞祺中學,EST. VITÓRIA / ESC. CHAN SUI KI,M72,22.198504,113.549041,Macau Peninsula,M72_1,2,2,2,86.09754461769923
M73_1,得勝花園,JARDIM DA VITÓRIA,M73,22.199441,113.548956,Macau Peninsula,M73_1,7,7,7,36.72470315560918
M73_2,得勝花園,JARDIM DA VITÓRIA,M73,22.199211,113.5487,Macau Peninsula,M73_2,7,7,7,36.72470315560918
M75_1,高美士中葡中學,ESCOLA S. LUSO-CHINESA DE L.G. GOMES,M75,22.198708,113.547713,Macau Peninsula,M75_1,2,2,2,75.29544034582504
M76_1,盧廉若公園,JARDIM LOU LIM IOC,M76,22.200022,113.548169,Macau Peninsula,M76_1,5,5,5,20.544879352451485
M76_2,盧廉若公園,JARDIM LOU LIM IOC,M76,22.200173,113.548284,Macau Peninsula,M76_2,8,8,8,20.544879352451485
M77_1,羅利老馬路,ADOLFO LOUREIRO,M77,22.200305,113.547126,Macau Peninsula,M77_1,1,1,1,80.10636094593222
M78_1,沙嘉都喇街,SACADURA CABRAL,M78,22.19947,113.546559,Macau Peninsula,M78_1,2,2,2,98.22293053441385
M81_1,歸僑總會,ASSOC GERAL DOS CHINESES ULTRAMARINOS,M81,22.200343,113.545255,Macau Peninsula,M81_1,2,2,2,81.95670327959911
M82_1,賈伯樂/沙嘉都喇,AL. COSTA CABRAL / SACADURA CABRAL,M82,22.20021,113.546038,Macau Peninsula,M82_1,1,1,1,81.95670327959911
M83_1,賈伯樂/培正,AL. COSTA CABRAL / ESC. PUI CHING,M83,22.201021,113.54704,Macau Peninsula,M83_1,2,2,2,80.10636094593222
M84_1,高士德/培正,HORTA E COSTA / ESC. PUI CHING,M84,22.201611,113.548396,Macau Peninsula,M84_1,6,6,6,2.417653861965293
M84_2,高士德/培正,HORTA E COSTA / ESC. PUI CHING,M84,22.201626,113.548379,Macau Peninsula,M84_2,6,6,6,2.417653861965293
M85_1,羅利老/得勝花園,ADOLFO LOUREIRO / JARDIM VITÓRIA,M85,22.199282,113.548101,Macau Peninsula,M85_1,1,1,1,62.17194208617066
M86_1,渡船街/俾利喇街,R. BARCA / R. XAVIER PEREIRA,M86,22.201717,113.545597,Macau Peninsula,M86_1,4,4,4,63.733389624928684
M87_1,連勝馬路,EST. COELHO AMARAL,M87,22.201305,113.54461,Macau Peninsula,M87_1,5,5,5,111.46253394856424
M88_1,高士德/賈伯樂,HORTA COSTA / COSTA CABRAL,M88,22.202173,113.547948,Macau Peninsula,M88_1,8,8,8,75.28855432343069
M90_1,雅廉花園,EDF. NGA LIM,M90,22.203162,113.548807,Macau Peninsula,M90_1,3,3,3,73.10401750616506
M91_1,高士德/亞利鴉架街,HORTA E COSTA / RUA MANUEL ARRIAGA,M91,22.20363,113.546144,Macau Peninsula,M91_1,7,7,7,42.71637547267985
M92_1,俾利喇/高士德,XAVIER PEREIRA / HORTA E COSTA,M92,22.203206,113.547304,Macau Peninsula,M92_1,8,8,8,101.47739487617476
M93_1,海擎天總站,THE PRAIA / TERMINAL,M93,22.205692,113.541625,Macau Peninsula,M93_1,1,2,2,98.60753639261324
M94_1,沙梨頭南街/蘭花前地,RUA SUL DO PATANE / PRAÇA DAS ORQUIDEAS,M94,22.206201,113.543151,Macau Peninsula,M94_1,5,5,5,132.91902497560267
M95_2,沙梨頭北街/筷子基北灣,RUA NORTE DO PATANE / BACIA NORTE DO PATANE,M95,22.208841,113.541755,Macau Peninsula,M95_2,1,1,1,5.905303645540371
M95_3,沙梨頭北街/筷子基北灣,RUA NORTE DO PATANE / BACIA NORTE DO PATANE,M95,22.208892,113.541739,Macau Peninsula,M95_3,5,7,10,5.905303645540371
M96_1,連勝馬路/高士德,EST. C. AMARAL / HORTA E COSTA,M96,22.203605,113.545106,Macau Peninsula,M96_1,4,4,4,93.28443710559893
M97_1,雅廉訪/俾利喇,OUVIDOR ARRIAGA / XAVIER PEREIRA,M97,22.203536,113.548223,Macau Peninsula,M97_1,2,2,2,73.10401750616506
M98_1,高士德/連勝,HORTA COSTA / COELHO DO AMARAL,M98,22.203958,113.545928,Macau Peninsula,M98_1,8,8,8,42.71637547267985
M99_1,高士德/紅街市,HORTA COSTA / MERCADO VERMELHO,M99,22.204919,113.544681,Macau Peninsula,M99_1,4,4,4,72.76481571634709
M100_1,水坑尾/高可寧大宅,CAMPO / MANSÃO DO KOU HO NENG,M100,22.19436,113.543809,Macau Peninsula,M100_1,2,2,2,16.01149105125506
M101_1,幸運閣,OUVIDOR ARRIAGA / FORTUNA,M101,22.204187,113.547566,Macau Peninsula,M101_1,3,3,3,99.06999045200625
M102_1,船澳街,RUA DA DOCA SECA,M102,22.206914,113.54035,Macau Peninsula,M102_1,2,2,2,77.07294951498757
M103_1,聖方濟各老人院,ASILO S. FRANCISCO,M103,22.20458,113.548554,Macau Peninsula,M103_1,2,2,2,88.3359264034875
M104_1,觀音堂,TEMPLO KUN IAM,M104,22.204172,113.549821,Macau Peninsula,M104_1,6,6,6,56.89255832093183
M105_1,望廈炮台,FORTE MONG-HÁ,M105,22.205684,113.547982,Macau Peninsula,M105_1,5,5,5,121.04113645032464
M106_1,雅廉訪/聖心,OUVIDOR ARRIAGA / ESC. S. C. JESUS,M106,22.205369,113.546003,Macau Peninsula,M106_1,3,3,3,99.67377638905
M107_1,聖心學校,ESC. S. C. JESUS,M107,22.20585,113.54682,Macau Peninsula,M107_1,3,3,3,99.67377638905
M108_1,俾若翰街/綠楊花園,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,M108,22.207449,113.540826,Macau Peninsula,M108_1,9,9,9,68.96429603677015
M108_3,俾若翰街/綠楊花園,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,M108,22.207623,113.541469,Macau Peninsula,M108_3,1,1,1,68.96429603677015
M109_1,提督/高士德,ALMIRANTE LACERDA / HORTA E COSTA,M109,22.205016,113.543982,Macau Peninsula,M109_1,3,3,3,72.76481571634709
M110_1,渡船街/婦聯,RUA DA BARCA / ESC. FU LUN,M110,22.202275,113.544055,Macau Peninsula,M110_1,3,3,3,122.05857982972503
M111_1,昌明花園,JARDIM CHEONG MENG,M111,22.204431,113.543222,Macau Peninsula,M111_1,7,7,7,30.217707298379146
M112_1,沙梨頭/華寶工業大廈,RIBEIRA DO PATANE / EDF. INDUSTRIAL WA POU,M112,22.202624,113.538659,Macau Peninsula,M112_1,10,10,10,160.13590048161478
M113_1,提督/紅街市,ALM. LACERDA / MERCADO VERMELHO,M113,22.204657,113.543385,Macau Peninsula,M113_1,7,7,7,30.217707298379146
M114_1,沙梨頭海邊街,R. RIBEIRA PATANE,M114,22.20307,113.540138,Macau Peninsula,M114_1,6,6,6,160.13590048161478
M116_1,亞利鴉架街,RUA MANUEL ARRIAGA,M116,22.202287,113.545662,Macau Peninsula,M116_1,2,2,2,63.733389624928684
M117_1,羅理基/馬六甲街,AV. R. RODRIGUES / RUA MALACA,M117,22.19623,113.552731,Macau Peninsula,M117_1,6,6,6,120.98605718462122
M118_1,高美士/馬六甲街停車場,GONZAGA GOMES / AUTO-SILO DA RUA DE MALACA,M118,22.195713,113.553765,Macau Peninsula,M118_1,3,3,3,3.3795875314390393
M118_2,高美士/馬六甲街停車場,GONZAGA GOMES / AUTO-SILO DA RUA DE MALACA,M118,22.195739,113.553782,Macau Peninsula,M118_2,7,7,7,3.3795875314390393
M119_1,永樂戲院,CINEMA ALEGRIA,M119,22.201657,113.543029,Macau Peninsula,M119_1,4,4,4,126.01338172381915
M120_2,筷子基街/廣大中學,RUA DE FÁI CHI KEI / ESCOLA KWONG TAI,M120,22.205932,113.539044,Macau Peninsula,M120_2,1,2,2,121.96786379353873
M121_1,連勝/鏡湖醫院,C. AMARAL / HOSPITAL KIANG WU,M121,22.199711,113.542395,Macau Peninsula,M121_1,7,7,7,124.27036593844923
M123_1,東南小學,ALM.COSTA CABRAL / ESC. TONG NAM,M123,22.198465,113.543888,Macau Peninsula,M123_1,1,1,1,83.0858624749296
M124_1,白鴿巢總站,JARDIM CAMÕES / TERMINAL,M124,22.199301,113.539424,Macau Peninsula,M124_1,1,1,2,12.624434466885823
M125_1,栢港停車場,AUTO-SILO PAK KONG,M125,22.197712,113.536755,Macau Peninsula,M125_1,12,12,12,34.892489518409896
M126_1,林茂/信譽灣畔,LAM MAU / LA MAGNÍFÍCENCE,M126,22.204514,113.539827,Macau Peninsula,M126_1,2,2,2,37.68188585623456
M127_1,海邊新街,R. DO GUIMARÃES,M127,22.200661,113.537479,Macau Peninsula,M127_1,12,12,12,66.73719484022033
M128_1,林茂/澳門遊艇會,LAM MAU / CLUBE NÁUTICO DE MACAU,M128,22.204518,113.539461,Macau Peninsula,M128_1,4,4,4,37.68188585623456
M129_1,沙梨頭街市,MERCADO DE PATANE,M129,22.201256,113.537564,Macau Peninsula,M129_1,9,9,9,66.73719484022033
M130_1,林茂/運順新邨,LAM MAU / VAN SION SON CHUN,M130,22.20521,113.542429,Macau Peninsula,M130_1,1,1,1,98.60753639261324
M131_1,十月初五街,R. CINCO OUTUBRO,M131,22.197951,113.537789,Macau Peninsula,M131_1,1,1,1,102.26667004370458
M132_1,十六浦,PONTE 16,M132,22.197371,113.536586,Macau Peninsula,M132_1,8,8,8,6.980048958876754
M132_2,十六浦,PONTE 16,M132,22.197432,113.536602,Macau Peninsula,M132_2,8,8,8,6.980048958876754
M133_1,草堆街,RUA DAS ESTALAGENS,M133,22.196285,113.539159,Macau Peninsula,M133_1,1,1,1,153.37671925577533
M134_1,新馬路/永亨,ALMEIDA RIBEIRO / WENG HANG,M134,22.193897,113.539178,Macau Peninsula,M134_1,11,11,11,139.92682776657654
M135_1,新馬路/大豐,ALMEIDA RIBEIRO / TAI FUNG,M135,22.194846,113.538261,Macau Peninsula,M135_1,3,3,3,1.6669347870186624
M135_2,新馬路/大豐,ALMEIDA RIBEIRO / TAI FUNG,M135,22.194835,113.538272,Macau Peninsula,M135_2,9,9,9,1.6669347870186624
M136_1,粵通碼頭,PONTE CAIS N.14,M136,22.195579,113.536286,Macau Peninsula,M136_1,8,8,8,12.10192479801761
M136_2,粵通碼頭,PONTE CAIS N.14,M136,22.195477,113.536245,Macau Peninsula,M136_2,5,5,5,12.10192479801761
M137_1,內港客運碼頭,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,M137,22.194395,113.53563,Macau Peninsula,M137_1,8,8,8,41.186630625123605
M137_2,內港客運碼頭,TERMINAL MARÍTIMO DE PASSAGEIROS DO PORTO INTERIOR,M137,22.194738,113.535781,Macau Peninsula,M137_2,5,5,5,41.186630625123605
M138_1,司打口總站,PRAÇA PONTE HORTA / TERMINAL,M138,22.193381,113.535114,Macau Peninsula,M138_1,1,1,2,25.764259324816468
M139_1,司打口,PRAÇA PONTE HORTA,M139,22.193541,113.535295,Macau Peninsula,M139_1,5,5,5,8.268644925029932
M139_2,司打口,PRAÇA PONTE HORTA,M139,22.193607,113.535332,Macau Peninsula,M139_2,11,11,11,8.268644925029932
M140_1,河邊新街/李道巷,ALM. SERGIO / TRAV. LIDO,M140,22.192265,113.534528,Macau Peninsula,M140_1,5,5,5,5.332526091957636
M140_2,河邊新街/李道巷,ALM. SERGIO / TRAV. LIDO,M140,22.192307,113.534553,Macau Peninsula,M140_2,9,9,9,5.332526091957636
M141_1,營地大街,RUA DOS MERCADORES,M141,22.195122,113.53996,Macau Peninsula,M141_1,1,1,1,153.37671925577533
M142_1,金碧文娛中心,KAM PEK COMMUNITY CENTRE,M142,22.195647,113.537343,Macau Peninsula,M142_1,9,9,9,78.59231438681891
M143_1,新馬路/爐石塘,ALMEIDA RIBEIRO / RUA CAMILO PESSANHA,M143,22.19518,113.537916,Macau Peninsula,M143_1,4,4,4,51.390320978382206
M144_1,水坑尾/天神巷,CAMPO / TRAVESSA DOS ANJOS,M144,22.193509,113.543364,Macau Peninsula,M144_1,2,2,2,27.13234347557387
M144_2,水坑尾/天神巷,CAMPO / TRAVESSA DOS ANJOS,M144,22.193753,113.543366,Macau Peninsula,M144_2,5,5,5,3.246535772618326
M144_3,水坑尾/天神巷,CAMPO / TRAVESSA DOS ANJOS,M144,22.19378,113.543378,Macau Peninsula,M144_3,5,5,5,3.246535772618326
M145_1,愕斜巷/山頂醫院,CALÇADA DA SURPRESA / HOSPITAL S. JANUÁRIO,M145,22.194581,113.545914,Macau Peninsula,M145_1,2,2,2,21.778135078027685
M145_2,愕斜巷/山頂醫院,CALÇADA DA SURPRESA / HOSPITAL S. JANUÁRIO,M145,22.194423,113.545789,Macau Peninsula,M145_2,1,1,1,21.778135078027685
M146_1,水坑尾/方圓廣場,R. CAMPO / VICKY PLAZA,M146,22.194407,113.543956,Macau Peninsula,M146_1,4,4,4,16.01149105125506
M147_1,山頂醫院總站,HOSPITAL S. JANUÁRIO / TERMINAL,M147,22.194129,113.546249,Macau Peninsula,M147_1,2,2,3,57.54721503581116
M148_1,東望洋斜巷,CALÇADA DA GUIA,M148,22.195913,113.546489,Macau Peninsula,M148_1,2,2,2,99.0755088949062
M149_1,粵華中學,YUET WAH COLLEGE,M149,22.19723,113.547905,Macau Peninsula,M149_1,2,2,2,80.07196044783254
